,subway,totalPrice,unitPrice,houseName,room_counts,area,direction,else1,else2,elevator,position,address
1746,无,130万,单价14883元/平米,上锦颐园  , 2室2厅 , 87.35平米 , 东南 , 精装,,,低楼层(共24层)2008年建板塔结合  ,  高新西
1747,距离4号线中坝站1185米,266万,单价22312元/平米,万科金色领域  , 4室2厅 , 119.22平米 , 南 , 其他,,,低楼层(共24层)2012年建板塔结合  ,  万家湾
1748,距离1号线四河站773米,185万,单价14647元/平米,华阳滨河花园  , 3室2厅 , 126.31平米 , 东南 西北 , 简装,,,低楼层(共6层)2003年建板塔结合  ,  华阳
1749,无,168万,单价14497元/平米,保利公园198蔷薇郡  , 3室1厅 , 115.89平米 , 东南 , 其他,,,低楼层(共27层)2012年建塔楼  ,  保利公园
1750,距离7号线花照壁站423米,278万,单价19975元/平米,和睦人家一二期  , 3室2厅 , 139.18平米 , 南 , 其他,,,高楼层(共6层)2002年建板塔结合  ,  营门口
1751,距离2号线羊犀立交站191米,360万,单价20149元/平米,金都花园  , 4室2厅 , 178.67平米 , 南 , 其他 , 有电梯,,低楼层(共11层)2000年建板楼  ,  蜀汉路
1752,距离7号线琉璃场站1101米,370万,单价19939元/平米,紫东锦源  , 3室2厅 , 185.57平米 , 东南 西南 , 其他,,,高楼层(共25层)2010年建板塔结合  ,  琉璃场
1753,无,560万,单价30480元/平米,保利心语花园二期  , 4室2厅 , 183.73平米 , 西 , 其他,,,中楼层(共32层)2012年建板塔结合  ,  大源
1754,无,260万,单价29122元/平米,华韵天府  , 4室2厅 , 89.28平米 , 东北 , 其他 , 有电梯,,低楼层(共34层)2013年建塔楼  ,  三圣乡
1755,无,200万,单价21964元/平米,世豪嘉柏  , 3室2厅 , 91.06平米 , 东南 , 精装,,,中楼层(共20层)2014年建板楼  ,  草金立交
1756,距离3号线红星桥站585米,188万,单价14945元/平米,太升大厦  , 3室2厅 , 125.8平米 , 北 , 其他 , 有电梯,,中楼层(共26层)2000年建塔楼  ,  草市街
1757,无,180万,单价13635元/平米,合能四季城一期  , 4室1厅 , 132.02平米 , 西南 , 精装,,,低楼层(共29层)2013年建板塔结合  ,  犀浦
1758,无,665万,单价37019元/平米,翡翠城一期  , 5室2厅 , 179.64平米 , 东南 , 其他,,,高楼层(共5层)2004年建板楼  ,  东湖
1759,无,270万,单价19723元/平米,龙城国际  , 3室2厅 , 136.9平米 , 东 , 其他,,,中楼层(共10层)2012年建板塔结合  ,  橡树湾
1760,无,200万,单价17046元/平米,世茂城一期  , 3室2厅 , 117.33平米 , 南 , 其他,,,低楼层(共29层)2012年建板塔结合  ,  大面
1761,无,190万,单价18256元/平米,大成郡  , 3室2厅 , 104.08平米 , 南 , 其他,,,低楼层(共15层)2015年建塔楼  ,  航空港
1762,无,270万,单价19905元/平米,蓝谷地天域  , 3室2厅 , 135.65平米 , 西北 , 其他,,,低楼层(共31层)2011年建塔楼  ,  蓝谷地
1763,无,398万,单价25270元/平米,神仙树大院三期  , 4室2厅 , 157.5平米 , 东 西 , 其他 , 有电梯,,中楼层(共18层)2011年建塔楼  ,  神仙树
1764,无,314万,单价20204元/平米,龙城1号  , 4室1厅 , 155.42平米 , 东南 , 精装,,,高楼层(共6层)2013年建板楼  ,  大面
1765,无,900万,单价44333元/平米,南苑小区B区  , 3室2厅 , 203.01平米 , 南 , 其他,,,高楼层(共16层)2008年建板楼  ,  金融城
1766,无,280万,单价15175元/平米,雅居乐花园  , 4室1厅 , 184.52平米 , 东北 , 精装 , 有电梯,,低楼层(共30层)2010年建板楼  ,  雅居乐
1767,无,320万,单价34480元/平米,建发天府鹭洲  , 3室2厅 , 92.81平米 , 北 , 精装,,,中楼层(共28层)2012年建板塔结合  ,  大源
